radius	n_rotors	profile	elevation	wind_speed	tension_with_snel	tension_without_snel	snel_boost_pct
3.0	1	top_draggy	45.0	6.0	80.40874719763548	84.33202397210486	-4.652179077033794
3.0	1	top_draggy	45.0	8.0	154.3971593540789	154.78930420225618	-0.2533410497568252
3.0	1	top_draggy	45.0	10.0	235.5169637230657	235.85270973171598	-0.1423541027076615
3.0	1	top_draggy	45.0	12.0	336.55484802901805	336.9031946975781	-0.10339666528622529
3.0	1	top_draggy	55.0	6.0	80.35050254564337	84.30647202254153	-4.692367480210096
3.0	1	top_draggy	55.0	8.0	154.52083590069117	154.8308430942452	-0.20022315151080203
3.0	1	top_draggy	55.0	10.0	235.50340814160637	235.83578832510096	-0.1409371265723269
3.0	1	top_draggy	55.0	12.0	336.58836566517436	336.9369705889054	-0.10346294831396698
3.0	1	bottom_lifty	45.0	6.0	80.40874719763548	84.33202397210486	-4.652179077033794
3.0	1	bottom_lifty	45.0	8.0	154.3971593540789	154.78930420225618	-0.2533410497568252
3.0	1	bottom_lifty	45.0	10.0	235.5169637230657	235.85270973171598	-0.1423541027076615
3.0	1	bottom_lifty	45.0	12.0	336.55484802901805	336.9031946975781	-0.10339666528622529
3.0	1	bottom_lifty	55.0	6.0	80.35050254564337	84.30647202254153	-4.692367480210096
3.0	1	bottom_lifty	55.0	8.0	154.52083590069117	154.8308430942452	-0.20022315151080203
3.0	1	bottom_lifty	55.0	10.0	235.50340814160637	235.83578832510096	-0.1409371265723269
3.0	1	bottom_lifty	55.0	12.0	336.58836566517436	336.9369705889054	-0.10346294831396698
3.0	1	graded	45.0	6.0	80.40874719763548	84.33202397210486	-4.652179077033794
3.0	1	graded	45.0	8.0	154.3971593540789	154.78930420225618	-0.2533410497568252
3.0	1	graded	45.0	10.0	235.5169637230657	235.85270973171598	-0.1423541027076615
3.0	1	graded	45.0	12.0	336.55484802901805	336.9031946975781	-0.10339666528622529
3.0	1	graded	55.0	6.0	80.35050254564337	84.30647202254153	-4.692367480210096
3.0	1	graded	55.0	8.0	154.52083590069117	154.8308430942452	-0.20022315151080203
3.0	1	graded	55.0	10.0	235.50340814160637	235.83578832510096	-0.1409371265723269
3.0	1	graded	55.0	12.0	336.58836566517436	336.9369705889054	-0.10346294831396698
3.0	2	uniform	45.0	6.0	161.02959646542558	165.4501350183756	-2.6718252919280134
3.0	2	uniform	45.0	8.0	308.8357957656682	309.556907895653	-0.23294977808341896
3.0	2	uniform	45.0	10.0	471.1095615680426	471.78058944854394	-0.14223304127151745
3.0	2	uniform	45.0	12.0	673.2797130015263	673.9727752739317	-0.10283238401191161
3.0	2	uniform	55.0	6.0	163.94809897627692	168.36942065053174	-2.6259647726838273
3.0	2	uniform	55.0	8.0	308.98982277716925	309.6068124281534	-0.1992816779919211
3.0	2	uniform	55.0	10.0	471.0377149047546	471.70859609795343	-0.14222365221844274
3.0	2	uniform	55.0	12.0	673.1307536906364	673.8317403405466	-0.10402992437784564
3.0	2	top_draggy	45.0	6.0	161.02959646542558	165.4501350183756	-2.6718252919280134
3.0	2	top_draggy	45.0	8.0	308.8357957656682	309.556907895653	-0.23294977808341896
3.0	2	top_draggy	45.0	10.0	471.1095615680426	471.78058944854394	-0.14223304127151745
3.0	2	top_draggy	45.0	12.0	673.2797130015263	673.9727752739317	-0.10283238401191161
3.0	2	top_draggy	55.0	6.0	163.94809897627692	168.36942065053174	-2.6259647726838273
3.0	2	top_draggy	55.0	8.0	308.98982277716925	309.6068124281534	-0.1992816779919211
3.0	2	top_draggy	55.0	10.0	471.0377149047546	471.70859609795343	-0.14222365221844274
3.0	2	top_draggy	55.0	12.0	673.1307536906364	673.8317403405466	-0.10402992437784564
3.0	2	bottom_lifty	45.0	6.0	161.02959646542558	165.4501350183756	-2.6718252919280134
3.0	2	bottom_lifty	45.0	8.0	308.8357957656682	309.556907895653	-0.23294977808341896
3.0	2	bottom_lifty	45.0	10.0	471.1095615680426	471.78058944854394	-0.14223304127151745
3.0	2	bottom_lifty	45.0	12.0	673.2797130015263	673.9727752739317	-0.10283238401191161
3.0	2	bottom_lifty	55.0	6.0	163.94809897627692	168.36942065053174	-2.6259647726838273
3.0	2	bottom_lifty	55.0	8.0	308.98982277716925	309.6068124281534	-0.1992816779919211
3.0	2	bottom_lifty	55.0	10.0	471.0377149047546	471.70859609795343	-0.14222365221844274
