radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	total_lift	profile_min	profile_max	tip_speed	tip_reynolds
2.0	1	15.0	bottom_lifty	45.0	6.0	289.4838062244514	322.1052796064126	0.0	289.4838062244514	12.287280664334876	124739.65867798528
2.0	1	15.0	bottom_lifty	45.0	8.0	540.6275348072169	572.631608189178	0.0	540.6275348072169	16.383040885779835	166319.54490398036
2.0	1	15.0	bottom_lifty	45.0	10.0	863.5266144136294	894.7368877955905	0.0	863.5266144136294	20.478801107224793	207899.43112997548
2.0	1	15.0	bottom_lifty	45.0	12.0	1258.181045043689	1288.4211184256503	0.0	1258.181045043689	24.574561328669752	249479.31735597056
2.0	1	15.0	bottom_lifty	55.0	6.0	297.1338856153556	323.276219260369	0.0	297.1338856153556	10.606601717798213	107677.51743897358
2.0	1	15.0	bottom_lifty	55.0	8.0	548.9771818035978	574.7132786851004	0.0	548.9771818035978	14.142135623730951	143570.02325196477
2.0	1	15.0	bottom_lifty	55.0	10.0	872.7757054741948	897.9894979454692	0.0	872.7757054741948	17.677669529663685	179462.52906495592
2.0	1	15.0	bottom_lifty	55.0	12.0	1268.5294566271468	1293.104877041476	0.0	1268.5294566271468	21.213203435596427	215355.03487794715
2.0	1	15.0	graded	45.0	6.0	289.4838062244514	322.1052796064126	0.0	289.4838062244514	12.287280664334876	124739.65867798528
2.0	1	15.0	graded	45.0	8.0	540.6275348072169	572.631608189178	0.0	540.6275348072169	16.383040885779835	166319.54490398036
2.0	1	15.0	graded	45.0	10.0	863.5266144136294	894.7368877955905	0.0	863.5266144136294	20.478801107224793	207899.43112997548
2.0	1	15.0	graded	45.0	12.0	1258.181045043689	1288.4211184256503	0.0	1258.181045043689	24.574561328669752	249479.31735597056
2.0	1	15.0	graded	55.0	6.0	297.1338856153556	323.276219260369	0.0	297.1338856153556	10.606601717798213	107677.51743897358
2.0	1	15.0	graded	55.0	8.0	548.9771818035978	574.7132786851004	0.0	548.9771818035978	14.142135623730951	143570.02325196477
2.0	1	15.0	graded	55.0	10.0	872.7757054741948	897.9894979454692	0.0	872.7757054741948	17.677669529663685	179462.52906495592
2.0	1	15.0	graded	55.0	12.0	1268.5294566271468	1293.104877041476	0.0	1268.5294566271468	21.213203435596427	215355.03487794715
2.0	2	15.0	uniform	45.0	6.0	578.9676124489029	644.2105592128252	0.0	578.9676124489029	12.287280664334876	124739.65867798528
2.0	2	15.0	uniform	45.0	8.0	1081.2550696144338	1145.263216378356	0.0	1081.2550696144338	16.383040885779835	166319.54490398036
2.0	2	15.0	uniform	45.0	10.0	1727.0532288272589	1789.473775591181	0.0	1727.0532288272589	20.478801107224793	207899.43112997548
2.0	2	15.0	uniform	45.0	12.0	2516.362090087378	2576.8422368513006	0.0	2516.362090087378	24.574561328669752	249479.31735597056
2.0	2	15.0	uniform	55.0	6.0	594.2677712307112	646.552438520738	0.0	594.2677712307112	10.606601717798213	107677.51743897358
2.0	2	15.0	uniform	55.0	8.0	1097.9543636071955	1149.4265573702007	0.0	1097.9543636071955	14.142135623730951	143570.02325196477
2.0	2	15.0	uniform	55.0	10.0	1745.5514109483895	1795.9789958909384	0.0	1745.5514109483895	17.677669529663685	179462.52906495592
2.0	2	15.0	uniform	55.0	12.0	2537.0589132542937	2586.209754082952	0.0	2537.0589132542937	21.213203435596427	215355.03487794715
2.0	2	15.0	top_draggy	45.0	6.0	562.3238745968998	627.5668213608221	0.0	562.3238745968998	13.594616805549748	107677.51743897358
2.0	2	15.0	top_draggy	45.0	8.0	1051.6662023219837	1115.6743490859062	0.0	1051.6662023219837	18.126155740732997	143570.02325196477
2.0	2	15.0	top_draggy	45.0	10.0	1680.820623682806	1743.2411704467281	0.0	1680.820623682806	22.65769467591625	179462.52906495592
2.0	2	15.0	top_draggy	45.0	12.0	2449.787138679366	2510.2672854432885	0.0	2449.787138679366	27.189233611099496	215355.03487794715
