radius	n_rotors	spacing	profile	elevation	mean_anchor_tension	tension_per_kg	tension_cv	max_tension	min_tension
0.5	3	10.0	bottom_lifty	55.0	36.95374907127558	2.463583271418372	2.3328531932784027	158.30927075160758	-57.43387890231599
0.5	3	10.0	bottom_lifty	65.0	46.35442450157778	3.090294966771852	1.6633965910742523	154.8971262182995	-38.06767683365021
0.5	3	10.0	graded	45.0	21.389031704357272	1.4259354469571515	4.166108566503817	146.828826260315	-76.17525295027653
0.5	3	10.0	graded	55.0	40.54398040816058	2.7029320272107054	2.1891800856291947	165.48973342537758	-56.63604971634154
0.5	3	10.0	graded	65.0	52.599191039447035	3.506612735963136	1.5502501631777261	167.386659294038	-36.67995093634593
0.5	3	15.0	uniform	45.0	26.33985763861063	1.7559905092407087	3.516570285395624	156.73047812882174	-75.07506940933135
0.5	3	15.0	uniform	55.0	46.42822486200133	3.0952149908000886	2.001758250747795	177.2582223330591	-55.32843983771027
0.5	3	15.0	uniform	65.0	55.05476626801608	3.6703177512010723	1.5127896127167952	172.2978097511761	-36.13426755221948
0.5	3	15.0	top_draggy	45.0	24.2580893018998	1.6172059534599867	3.7573911031837905	152.56694145540007	-75.53768459526708
0.5	3	15.0	top_draggy	55.0	40.12894907127557	2.6752632714183715	2.204474563692104	164.65967075160756	-56.72827890231599
0.5	3	15.0	top_draggy	65.0	49.52962450157777	3.3019749667718514	1.6023010161402305	161.24752621829947	-37.362076833650214
0.5	3	15.0	bottom_lifty	45.0	24.2580893018998	1.6172059534599867	3.7573911031837905	152.56694145540007	-75.53768459526708
0.5	3	15.0	bottom_lifty	55.0	40.12894907127558	2.675263271418372	2.204474563692104	164.65967075160756	-56.72827890231599
0.5	3	15.0	bottom_lifty	65.0	49.52962450157777	3.3019749667718514	1.6023010161402305	161.24752621829947	-37.362076833650214
0.5	3	15.0	graded	45.0	24.564231704357265	1.637615446957151	3.7194163156882656	153.17922626031498	-75.46965295027654
0.5	3	15.0	graded	55.0	43.71918040816058	2.9146120272107057	2.0817785151225223	171.8401334253776	-55.93044971634154
0.5	3	15.0	graded	65.0	55.77439103944704	3.718292735963136	1.5024364928241227	173.73705929403798	-35.97435093634593
0.5	3	20.0	uniform	45.0	29.515057638610624	1.9676705092407083	3.214682411467056	163.08087812882172	-74.36946940933134
0.5	3	20.0	uniform	55.0	49.60342486200133	3.306894990800089	1.9190944661725755	183.60862233305912	-54.622839837710266
0.5	3	20.0	uniform	65.0	58.22996626801607	3.8819977512010713	1.4690349315654692	178.64820975117607	-35.42866755221948
0.5	3	20.0	top_draggy	45.0	27.433289301899798	1.8288859534599866	3.4047213174512305	158.91734145540005	-74.83208459526708
0.5	3	20.0	top_draggy	55.0	43.30414907127558	2.8869432714183723	2.094922205186273	171.0100707516076	-56.02267890231599
0.5	3	20.0	top_draggy	65.0	52.70482450157779	3.5136549667718526	1.5485668420405738	167.5979262182995	-36.65647683365022
0.5	3	20.0	bottom_lifty	45.0	27.433289301899798	1.8288859534599866	3.4047213174512305	158.91734145540005	-74.83208459526708
0.5	3	20.0	bottom_lifty	55.0	43.30414907127558	2.8869432714183723	2.094922205186273	171.0100707516076	-56.02267890231599
0.5	3	20.0	bottom_lifty	65.0	52.704824501577775	3.5136549667718517	1.548566842040574	167.59792621829948	-36.65647683365022
0.5	3	20.0	graded	45.0	27.73943170435727	1.8492954469571512	3.374985513478148	159.529626260315	-74.76405295027654
0.5	3	20.0	graded	55.0	46.89438040816058	3.126292027210705	1.988921180565002	178.19053342537757	-55.22484971634154
0.5	3	20.0	graded	65.0	58.94959103944704	3.929972735963136	1.4597735949671489	180.087459294038	-35.26875093634594
0.5	3	25.0	uniform	45.0	32.69025763861064	2.179350509240709	2.9714391886693985	169.43127812882176	-73.66386940933134
0.5	3	25.0	uniform	55.0	52.77862486200134	3.518574990800089	1.8463769069667937	189.95902233305912	-53.91723983771026
0.5	3	25.0	uniform	65.0	61.40516626801609	4.0936777512010725	1.429805272396342	184.9986097511761	-34.723067552219476
0.5	3	25.0	top_draggy	45.0	30.608489301899805	2.040565953459987	3.1252205857424196	165.26774145540008	-74.12648459526709
0.5	3	25.0	top_draggy	55.0	46.47934907127558	3.0986232714183717	2.0003378122685262	177.36047075160758	-55.317078902315984
0.5	3	25.0	top_draggy	65.0	55.88002450157778	3.725334966771852	1.5009392060508426	173.94832621829948	-35.95087683365021
0.5	3	25.0	bottom_lifty	45.0	30.608489301899805	2.040565953459987	3.1252205857424196	165.26774145540008	-74.12648459526709
0.5	3	25.0	bottom_lifty	55.0	46.47934907127558	3.0986232714183717	2.0003378122685262	177.36047075160758	-55.317078902315984
0.5	3	25.0	bottom_lifty	65.0	55.88002450157778	3.725334966771852	1.5009392060508426	173.94832621829948	-35.95087683365021
0.5	3	25.0	graded	45.0	30.91463170435727	2.0609754469571513	3.1013067547428625	165.880026260315	-74.05845295027653
0.5	3	25.0	graded	55.0	50.069580408160576	3.337972027210705	1.9078410810585262	184.54093342537757	-54.51924971634154
0.5	3	25.0	graded	65.0	62.12479103944704	4.141652735963136	1.4214717011798528	186.437859294038	-34.563150936345934
0.5	3	30.0	uniform	45.0	35.865457638610636	2.391030509240709	2.771265031868862	175.78167812882174	-72.95826940933134
0.5	3	30.0	uniform	55.0	55.953824862001326	3.7302549908000886	1.7819123240163313	196.3094223330591	-53.211639837710266
0.5	3	30.0	uniform	65.0	64.58036626801609	4.305357751201073	1.394433194749031	191.34900975117608	-34.01746755221948
0.5	3	30.0	top_draggy	45.0	33.7836893018998	2.2522459534599863	2.898258267786538	171.61814145540006	-73.42088459526708
0.5	3	30.0	top_draggy	55.0	49.654549071275575	3.3103032714183716	1.9178499692141706	183.71087075160756	-54.61147890231598
0.5	3	30.0	top_draggy	65.0	59.055224501577776	3.937014966771852	1.4584331243713675	180.29872621829946	-35.245276833650216
0.5	3	30.0	bottom_lifty	45.0	33.7836893018998	2.2522459534599863	2.898258267786538	171.61814145540006	-73.42088459526708
