radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem	PC1	PC2	PC3
2.0	3	15.0	bottom_lifty	55.0	12.0	630.3169781563831	178.2581109718469	37.33429145812988	1.4007368301646772	1.6828108479660475	0.6559181888137651
2.0	3	15.0	graded	45.0	6.0	91.76502591839942	103.46797669231414	21.6702823638916	-0.16297113732028853	-1.1665408975263383	0.48957739700181874
2.0	3	15.0	graded	45.0	8.0	280.7030384414367	127.54391995682664	26.712736129760746	0.340374172939174	-0.22113786303516741	0.6165303135631414
2.0	3	15.0	graded	45.0	10.0	439.7560503678643	151.36315739157337	31.701425552368164	0.8379446526679039	0.7224170436206643	0.742908469891707
2.0	3	15.0	graded	45.0	12.0	649.4453411701356	178.62573907373366	37.41128730773926	1.4129762851329357	1.6907619613023712	0.8769962187250891
2.0	3	15.0	graded	55.0	6.0	93.82139459396214	103.52132502319138	21.681455612182617	-0.16361214579652483	-1.1700367534978677	0.26998429725328943
2.0	3	15.0	graded	55.0	8.0	260.9364184352464	127.54391995682664	26.712736129760746	0.33853304536087203	-0.22501779495601654	0.39681776775801025
2.0	3	15.0	graded	55.0	10.0	439.3379542668862	151.173533126376	31.661710739135746	0.831837755211962	0.7171719308502538	0.5227713584002392
2.0	3	15.0	graded	55.0	12.0	648.2700190973505	178.22853169928126	37.32809638977051	1.4021996173095501	1.6840223747885696	0.6563943319836762
2.0	4	15.0	uniform	45.0	6.0	131.7916009270774	101.39267380105969	21.235631942749023	-0.20711641758961483	-1.3445152311858655	1.3606967537928047
2.0	4	15.0	uniform	45.0	8.0	370.13939420087655	123.96799718416368	25.963796615600582	0.26247108703649324	-0.4099157587938682	1.4842898065243708
2.0	4	15.0	uniform	45.0	10.0	581.5298629853861	146.91781528600004	30.77039527893066	0.7404831901117561	0.5273798507077082	1.608721346920596
2.0	4	15.0	uniform	45.0	12.0	845.3287859778952	170.4645008521066	35.70200157165527	1.231922368289339	1.4689725475630568	1.7344892639896918
2.0	4	15.0	uniform	55.0	6.0	133.71665099165776	101.43598630731644	21.24470329284668	-0.2079831910454478	-1.348083339068653	1.1410811839940234
2.0	4	15.0	uniform	55.0	8.0	370.2212655436345	123.95426395047252	25.960920333862305	0.26032101790716494	-0.4138945617511756	1.2645465122294213
2.0	4	15.0	uniform	55.0	10.0	581.7186008509708	146.89140522120934	30.764863967895508	0.7380479441660954	0.5233097821782853	1.3889496694042758
2.0	4	15.0	uniform	55.0	12.0	842.1248089396881	170.10902138002356	35.62755012512207	1.2220844074863813	1.4625333768908018	1.5139808053519574
2.0	4	15.0	top_draggy	45.0	6.0	172.39647423109324	103.17957878479952	21.60988044738769	-0.15926418885853114	-1.3266832810606368	1.3665641626543752
2.0	4	15.0	top_draggy	45.0	8.0	364.78935985914495	127.54391995682664	26.712736129760746	0.3505688939724949	-0.3792039548038379	1.4941627975018814
2.0	4	15.0	top_draggy	45.0	10.0	571.0618342466432	151.23057886632395	31.67365837097168	0.845156899497081	0.5633964660769522	1.6202441126402782
2.0	4	15.0	top_draggy	45.0	12.0	838.7018250698693	178.37906906858836	37.3596248626709	1.417621940615121	1.53091999360962	1.7540764124813244
2.0	4	15.0	top_draggy	55.0	6.0	123.45947397239117	102.18180653700628	21.40090751647949	-0.18355110835566615	-1.3377465740534105	1.1446176208005252
2.0	4	15.0	top_draggy	55.0	8.0	366.0035319149004	127.54391995682664	26.712736129760746	0.34872776639419295	-0.383083886724687	1.2744502516967502
2.0	4	15.0	top_draggy	55.0	10.0	568.7227591479411	151.23057886632395	31.67365837097168	0.8433157719187789	0.5595165341561031	1.400531566835147
2.0	4	15.0	top_draggy	55.0	12.0	834.5970243985325	178.37906906858836	37.3596248626709	1.415780813036819	1.527040061688771	1.5343638666761932
2.0	4	15.0	bottom_lifty	45.0	6.0	137.5374324483613	103.44209482881924	21.66486167907715	-0.15515923488160327	-1.3259929173464038	1.3666969047647786
2.0	4	15.0	bottom_lifty	45.0	8.0	290.9858934213717	127.54391995682664	26.712736129760746	0.3487683113778714	-0.3804035489788302	1.4937077704030663
2.0	4	15.0	bottom_lifty	45.0	10.0	572.5114091831804	151.51105375440136	31.73240089416504	0.8496658539638129	0.5642161226850155	1.62041706431429
2.0	4	15.0	bottom_lifty	45.0	12.0	841.4009547883652	178.7097230797681	37.428876876831055	1.4232597199798351	1.5321009097739737	1.754361714406595
