radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
3.0	1	15.0	bottom_lifty	45.0	12.0	340.7781500938117	115.53141126979618	36.29526329040527
3.0	1	15.0	bottom_lifty	55.0	6.0	82.43054505533814	66.7877571510813	20.981992721557617
3.0	1	15.0	bottom_lifty	55.0	8.0	157.20668014190153	83.0644804338152	26.095476150512695
3.0	1	15.0	bottom_lifty	55.0	10.0	238.89624553915363	99.27060688128786	31.18678092956543
3.0	1	15.0	bottom_lifty	55.0	12.0	340.8119988279227	115.53694827648334	36.2970027923584
3.0	1	15.0	graded	45.0	6.0	82.48890931703657	66.80921305199404	20.98873329162598
3.0	1	15.0	graded	45.0	8.0	157.08215843540117	83.03333477119995	26.085691452026367
3.0	1	15.0	graded	45.0	10.0	238.90991659149887	99.27337538463144	31.187650680541992
3.0	1	15.0	graded	45.0	12.0	340.7781500938117	115.53141126979618	36.29526329040527
3.0	1	15.0	graded	55.0	6.0	82.43054505533814	66.7877571510813	20.981992721557617
3.0	1	15.0	graded	55.0	8.0	157.20668014190153	83.0644804338152	26.095476150512695
3.0	1	15.0	graded	55.0	10.0	238.89624553915363	99.27060688128786	31.18678092956543
3.0	1	15.0	graded	55.0	12.0	340.8119988279227	115.53694827648334	36.2970027923584
3.0	2	15.0	uniform	45.0	6.0	169.48819529705446	67.09021614136725	21.07701301574707
3.0	2	15.0	uniform	45.0	8.0	314.20608169384604	83.04371665873836	26.088953018188477
3.0	2	15.0	uniform	45.0	10.0	477.8961384733305	99.28860215302112	31.192434310913086
3.0	2	15.0	uniform	45.0	12.0	681.727954813457	115.55978842906786	36.30417823791504
3.0	2	15.0	uniform	55.0	6.0	168.1082671099543	66.80298391947098	20.98677635192871
3.0	2	15.0	uniform	55.0	8.0	314.36116326888543	83.0644804338152	26.095476150512695
3.0	2	15.0	uniform	55.0	10.0	477.82366288726354	99.27683601381091	31.188737869262695
3.0	2	15.0	uniform	55.0	12.0	681.5775683970608	115.53694827648334	36.2970027923584
3.0	2	15.0	top_draggy	45.0	6.0	159.8718643993081	69.20535269586122	21.74150276184082
